Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,"Adams CS, Benosky CP (1998) 2,400 hectares of salt marsh wetland restorationNA Proc Proceedings of the 1998 ASCE Wetlands Engineering River Restoration ConferenceNA ASME",conference proceedings,1998,1994-1997,NA,primary,"More than 8,300 hectares of salt marsh and adjacent uplands along the estuary in New Jersey and Delaware were restoredNA The restoration included an engineering phase in September 1994; and a restoration construction which began in February 1996NA The restoration design included breaching of existing perimeter dikes and excavation of new channels to allow the restoration of daily tidal flows, as well as the construction of upland diking to protect adjacent properties from flooding associated with normal tide conditionsNA","Construction, hydrological restoration",NA,"Delaware Estuary, New Jersey",USA,USA,developed,"Cost included an engineering phase and a restoration construction phase: excavating the over 34 km of new channels and the handling the over 760,000 cubic meters of excavated materialNA",NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,no acknowledgement,3,8300.00,100000000.00,1994.00,12048.00,17724.00,5908.00,5908.00,"The design approach focused on a natural restoration, minimizing the level of engineering and subsequent disturbance, while maximizing the potential for a successful, self-sustaining restorationNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,"Adams CS, Benosky CP (1998) 2,400 hectares of salt marsh wetland restorationNA Proc Proceedings of the 1998 ASCE Wetlands Engineering River Restoration ConferenceNA ASME",conference proceedings,1998,1996-1997,NA,primary,"The restoration design for one salt hay farm which totals about 160 hectares was implemented including breaching of existing perimeter dikes and the excavation of new channels to allow the restoration of daily tidal flows, as well as the construction of upland diking to protect adjacent properties from flooding associated with normal tide conditionsNA","Construction, hydrological restoration",NA,Dennis Township Salt Hay Farm,USA,USA,developed,"The restoration work consisted of excavating about 76,500 cubic meters of material to create over 4NA8 km of new channelsNA The excavated material was redistributed on-site to create the required high marsh islandsNA Additional components of the restoration included the construction of about 1NA6 km of diking along the upland edge of the restoration area to reduce the off-site flooding impacts and the construction of a small car top boat launch area at an adjacent creekNA",NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,no acknowledgement,1,160.00,1600000.00,1996.00,10000.00,13902.00,13902.00,13902.00,"The design approach focused on a natural restoration, minimizing the level of engineering and subsequent disturbance, while maximizing the potential for a successful, self-sustaining restorationNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,"Adams CS, Benosky CP (1998) 2,400 hectares of salt marsh wetland restorationNA Proc Proceedings of the 1998 ASCE Wetlands Engineering River Restoration ConferenceNA ASME",conference proceedings,1998,1996-1997,NA,primary,"Two remaining salt hay farms were restored totaling up to 2300 ha (Commercial Township Salt Hay Farm Wetland Restoration Construction)NA The restoration design included breaching of existing perimeter dikes and the excavation of new channels to allow the restoration of daily tidal flows, as well as the construction of upland diking to protect adjacent properties from flooding associated with normal tide conditionsNA","Construction, hydrological restoration",NA,"Delaware Estuary, New Jersey",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no acknowledgement,1,2300.00,12000000.00,1996.00,5217.00,7253.00,7253.00,7253.00,"The design approach focused on a natural restoration, minimizing the level of engineering and subsequent disturbance, while maximizing the potential for a successful, self-sustaining restorationNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,"Anastasiou CJ, Brooks JR (2003) Effects of soil pH, redox potential, and elevation on survival of Spartina patens planted at a west central Florida salt marsh restoration siteNA Wetlands 23:845-859",journal,2003,1998,NA,primary,"The survivorship of Spartina patens at a restoration site previously dominated by the exotic/invasive Casuarina spNA is documented hereNA Three plots, each containing 100 SNA patens, were established in varying soil pH, with each plot covering the recommended elevation rangeNA Plants for experiment were previously grown in horticultureNA Here: SNA patens was transplanted to a plot with low pH soil (5NA20)NA","Planting saltmarsh (seeds, seedlings or sods)",Spartina patens,"Emerson Point, Manatee County, Tampa Bay, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank all the volunteers for their help in setting up the experiments, monitoring the plants, and providing assistance in the laboratoryNA Specifically, we thank Tania Mesa, Jai Buttram, and Jeff Sanchez for their hours of dedication to this projectNA We also thank the Southwest Florida Water Management District for providing most of the equipment and supplies necessary to conduct this research, and the University of South Florida, Department of Biology for laboratory space and supportNA",0NA1,0NA004,NA,1998.00,NA,NA,NA,NA,Transplant shock occurred within the first thirty days after planting and affected overall survivalNA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,"Anastasiou CJ, Brooks JR (2003) Effects of soil pH, redox potential, and elevation on survival of Spartina patens planted at a west central Florida salt marsh restoration siteNA Wetlands 23:845-859",journal,2003,1998,NA,primary,"The survivorship of Spartina patens at a restoration site previously dominated by the exotic/invasive Casuarina spNA is documented hereNA Three plots, each containing 100 SNA patens, were established in varying soil pH, with each plot covering the recommended elevation rangeNA Plants for experiment were previously grown in horticultureNA Here: SNA patens was transplanted to a plot with moderate pH soil (6NA40)NA","Planting saltmarsh (seeds, seedlings or sods)",Spartina patens,"Emerson Point, Manatee County, Tampa Bay, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank all the volunteers for their help in setting up the experiments, monitoring the plants, and providing assistance in the laboratoryNA Specifically, we thank Tania Mesa, Jai Buttram, and Jeff Sanchez for their hours of dedication to this projectNA We also thank the Southwest Florida Water Management District for providing most of the equipment and supplies necessary to conduct this research, and the University of South Florida, Department of Biology for laboratory space and supportNA",0NA1,0NA004,NA,1998.00,NA,NA,NA,NA,Transplant shock occurred within the first thirty days after planting and affected overall survivalNA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,"Anastasiou CJ, Brooks JR (2003) Effects of soil pH, redox potential, and elevation on survival of Spartina patens planted at a west central Florida salt marsh restoration siteNA Wetlands 23:845-859",journal,2003,1998,NA,primary,"The survivorship of Spartina patens at a restoration site previously dominated by the exotic/invasive Casuarina spNA is documented hereNA Three plots, each containing 100 SNA patens, were established in varying soil pH, with each plot covering the recommended elevation rangeNA Plants for experiment were previously grown in horticultureNA Here: SNA patens was transplanted to a plot with high pH soil (6NA40)NA","Planting saltmarsh (seeds, seedlings or sods)",Spartina patens,"Emerson Point, Manatee County, Tampa Bay, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank all the volunteers for their help in setting up the experiments, monitoring the plants, and providing assistance in the laboratoryNA Specifically, we thank Tania Mesa, Jai Buttram, and Jeff Sanchez for their hours of dedication to this projectNA We also thank the Southwest Florida Water Management District for providing most of the equipment and supplies necessary to conduct this research, and the University of South Florida, Department of Biology for laboratory space and supportNA",0NA1,0NA004,NA,1998.00,NA,NA,NA,NA,Transplant shock occurred within the first thirty days after planting and affected overall survivalNA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,"Armitage AR, Boyer KE, Vance RR, Ambrose RF (2006) Restoring assemblages of salt marsh halophytes in the presence of a rapidly colonizing dominant speciesNA Wetlands 26:667-676",journal,2006,1998,NA,primary,Salt marshes of 4 species were planted on plots (2 x 2 m2)NA Macroalgal mats that rafted onto the plots and vascular plant recruits were removed biweeklyNA A fence was installed to prevent herbivory by rabbitsNA,"Planting saltmarsh (seeds, seedlings or sods)",Salicornia virginica,"Mugu Lagoon, San Juan Capistrano, California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,We are indebted to the many field crews that aided in the sampling effortsNA This project was largely funded by the UNASNA Navy (N68711-01-LT-01002 to RNARNAVNA and RNAFNAANA)NA Additional support was provided by the Los Angeles Watersheds Project (EPA) and a predoctoral award from the UCLA Institute of the Environment to ANARNAANA,0NA6,0NA022,NA,1998.00,NA,NA,NA,NA,Survival of the planted individuals at the end of the first growing season was generally high for all speciesNA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,"Armitage AR, Boyer KE, Vance RR, Ambrose RF (2006) Restoring assemblages of salt marsh halophytes in the presence of a rapidly colonizing dominant speciesNA Wetlands 26:667-676",journal,2006,1998,NA,primary,Salt marshes of 4 species were planted on plots (2 x 2 m2)NA Macroalgal mats that rafted onto the plots and vascular plant recruits were removed biweeklyNA A fence was installed to prevent herbivory by rabbitsNA,"Planting saltmarsh (seeds, seedlings or sods)",Distichlis spicata,"Mugu Lagoon, San Juan Capistrano, California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,We are indebted to the many field crews that aided in the sampling effortsNA This project was largely funded by the UNASNA Navy (N68711-01-LT-01002 to RNARNAVNA and RNAFNAANA)NA Additional support was provided by the Los Angeles Watersheds Project (EPA) and a predoctoral award from the UCLA Institute of the Environment to ANARNAANA,0NA6,0NA022,NA,1998.00,NA,NA,NA,NA,Survival of the planted individuals at the end of the first growing season was generally high for all speciesNA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,"Armitage AR, Boyer KE, Vance RR, Ambrose RF (2006) Restoring assemblages of salt marsh halophytes in the presence of a rapidly colonizing dominant speciesNA Wetlands 26:667-676",journal,2006,1998,NA,primary,Salt marshes of 4 species were planted on plots (2 x 2 m2)NA Macroalgal mats that rafted onto the plots and vascular plant recruits were removed biweeklyNA A fence was installed to prevent herbivory by rabbitsNA,"Planting saltmarsh (seeds, seedlings or sods)",Jaumea carnosa,"Mugu Lagoon, San Juan Capistrano, California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,We are indebted to the many field crews that aided in the sampling effortsNA This project was largely funded by the UNASNA Navy (N68711-01-LT-01002 to RNARNAVNA and RNAFNAANA)NA Additional support was provided by the Los Angeles Watersheds Project (EPA) and a predoctoral award from the UCLA Institute of the Environment to ANARNAANA,0NA6,0NA022,NA,1998.00,NA,NA,NA,NA,Survival of the planted individuals at the end of the first growing season was generally high for all speciesNA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,"Armitage AR, Boyer KE, Vance RR, Ambrose RF (2006) Restoring assemblages of salt marsh halophytes in the presence of a rapidly colonizing dominant speciesNA Wetlands 26:667-676",journal,2006,1998,NA,primary,Salt marshes of 4 species were planted on plots (2 x 2 m2)NA Macroalgal mats that rafted onto the plots and vascular plant recruits were removed biweeklyNA A fence was installed to prevent herbivory by rabbitsNA,"Planting saltmarsh (seeds, seedlings or sods)",Frankenia salina,"Mugu Lagoon, San Juan Capistrano, California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,We are indebted to the many field crews that aided in the sampling effortsNA This project was largely funded by the UNASNA Navy (N68711-01-LT-01002 to RNARNAVNA and RNAFNAANA)NA Additional support was provided by the Los Angeles Watersheds Project (EPA) and a predoctoral award from the UCLA Institute of the Environment to ANARNAANA,0NA6,0NA022,NA,1998.00,NA,NA,NA,NA,Survival of the planted individuals at the end of the first growing season was generally high for all speciesNA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
