"FID_site","Area_ha","BASIN_NAME","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_CO2eMg_25yrs","FGM_yr","rate_scale","maint_cost_scale","rest_low_cost_scale","rest_high_cost_scale","DCF_25_4_CPlow","NPV_25_4_CPlow_RClow","NPV_25_4_CPlow_RChigh","DCF_25_7_CPlow","NPV_25_7_CPlow_RClow","DCF_25_4_CPhigh","NPV_25_4_CPhigh_RClow","DCF_25_4_CPlow_upperCI","NPV_25_4_CPlow_RClow_upperCI","DCF_25_4_CPlow_lowerCI","NPV_25_4_CPlow_RClow_lowerCI"
0,1.28319811169,"Fitzroy",5.64348738702132,5.64391643583763,5.70262818363872,6.28583524866127,8.02505604161266,10.8307705863934,14.1075024377638,17.2993819336244,20.0799478003316,22.3213805450825,24.0171012126896,25.2201812432747,26.0057646390394,26.451248547493,26.6271859641791,26.5940055626966,26.4016249968171,26.0903518285146,25.6922417574254,25.2325119152685,24.7308330224478,24.202438563438,23.6590438245877,23.1095913729787,22.5608477904632,492.534878841281,118.395188528268,0,962.3985837675,11878.7712525847,98669.1227858041,16877.9730890403,4999.20183645565,-81791.1496967638,9729.55675548781,-2149.21449709689,48662.6363934381,36783.8651408534,21559.7122373454,9680.94098476066,12373.5859343686,494.814681783882
1,4.96053356242,"Fitzroy",17.8942941723518,10.0245526610565,10.1793655472978,11.7171833162107,16.3032125327119,23.7014042560827,32.3415884500196,40.7580314243057,48.089910363889,54.0001870210617,58.4715138107298,61.6438310877615,63.7152807964908,64.8899460419441,65.3538630652847,65.2663719938632,64.7590971847154,63.9383228184397,62.8885743191129,61.6763449711349,60.3535031162641,58.9602168603287,57.527377419494,56.0785648211343,54.6316213899248,1185.16415944161,429.525964940302,0,3720.400171815,45920.4568195247,381430.965877048,30526.4329297586,-15394.023889766,-350904.53294729,14662.8540221395,-31257.6027973852,106898.349442622,60977.8926230973,48312.0448332971,2391.58801377239,17349.5444983651,-28570.9123211596
2,2.8618717481,"Fitzroy",6.84779434621542,6.59622825036755,6.71785312938528,7.92600126638114,11.5289006255435,17.341105249793,24.1290502509652,30.741218548841,36.5013261900725,41.1445874898435,44.6573737510246,47.1496256196676,48.777008367528,49.6998547909318,50.0643196181693,49.9955844422087,49.597056653022,48.9522357636061,48.1275270631256,47.1751693403985,46.1359116631822,45.0413111009841,43.9156365665544,42.7774131197011,41.6406581373536,893.180751344866,239.340395426792,0,2146.403811075,26492.8069486805,220058.284327277,27970.639616407,1477.83266772647,-192087.64471087,15044.4344905306,-11448.3724581499,85416.8155627458,58924.0086140653,47032.1688353147,20539.3618866341,17157.3402097934,-9335.46673888718
3,4.12853391308,"Fitzroy",12.577615949083,12.578996358146,12.7678938115042,14.6442870971631,20.2400050057694,29.2670285948933,39.8094894352441,50.0789487985899,59.025059769348,66.236579664677,71.6923415473423,75.5630959103966,78.0906088599886,79.5238957058179,80.0899515840215,79.9831979346041,79.3642383510237,78.3627571995805,77.0818895469978,75.6027682523906,73.9886813139733,72.2886404973775,70.5403382208926,68.7725460372569,67.0070345482271,1445.17788999431,396.783398517574,0,3096.40043481,38218.5022836625,317455.906367058,46949.1720931206,8730.66980945809,-270506.734273938,26087.3763750152,-12131.1259086473,139996.226379781,101777.724096118,62012.0621538685,23793.559870206,32456.8891289084,-5761.61315475409
4,39.8174860136,"Shoalwater",762.122154693449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,14283.3645212242,7500.46172491746,-0.229166667,23019.4840916581,284126.754225751,2360053.66239649,441537.045584279,157410.291358528,-1918516.61681221,292911.935231667,8785.18100591621,1386858.57871887,1102731.82449312,578912.059778818,294785.305553067,408722.905319337,124596.151093586
5,9.46036247971,"Shoalwater",181.038784441836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,3392.72324118989,1782.05778626277,-0.083333333,6503.99920716572,80278.0886339899,666817.166187395,99838.7017553946,19560.6131214047,-566978.464432,64955.1737441976,-15322.9148897923,324380.742258511,244102.653624521,132478.088694039,52200.0000600487,92042.2809328303,11764.1922988404
6,2.54260703277,"Shoalwater",18.7890648864595,13.8478467767048,13.9188810369106,14.6244925024568,16.7287436445023,20.1233258959542,24.0877832945589,27.9495793940863,31.3137347240273,34.0256028388033,36.0772239819403,37.5328083094683,38.4832711629538,39.0222539228918,39.2351173566149,39.1949730011679,38.9622153046754,38.5856116425393,38.1039456141981,37.547726961965,36.940754927456,36.3014602224203,35.6440169556186,34.9792445739385,34.3153298398931,776.335008772205,221.31934466832,0,1906.9552745775,23537.3221424943,195509.020179294,24187.3411393029,650.01899680862,-171321.679039991,13767.4470172302,-9769.87512526416,74604.1409131492,51066.8187706549,33267.6176533677,9730.29551087339,17921.619479747,-5615.70266274729
7,2.45124222609,"Fitzroy",35.5402832886919,35.5411028816006,35.6532573272677,36.7673318955858,40.0896881740414,45.4493201259962,51.708715530729,57.806021247245,63.1176127958013,67.3993222730792,70.6385821930179,72.9367725718921,74.4374376615385,75.2884257972601,75.6245112346646,75.5611281865584,75.1936321311451,74.59902081485,73.8385288177671,72.9603273072553,72.0019923873381,70.9926239072078,69.9546010583461,68.9050064296974,67.8567659222118,1559.86201196079,450.204154870446,0,1838.4316695675,22691.5434359944,188483.693967788,58388.6177179697,35697.0742819754,-130095.076249819,37133.5222882949,14441.9788523006,160002.08563138,137310.542195386,67331.9361951293,44640.392759135,49784.0868817652,27092.5434457709
8,1.78100098396,"Fitzroy",8.72432671890975,8.72492221138315,8.80641038379098,9.61586470330872,12.0297925650968,15.9239459349959,20.4718413739693,24.9019671393431,28.7612157433063,31.8721818580205,34.2257343120482,35.895532889411,36.985872686681,37.6041760228375,37.8483659691576,37.8023136818755,37.5353016901117,37.1032743266869,36.5507228642415,35.9126470780184,35.216348677057,34.4829707690953,33.7287734265982,32.9661683640081,32.2045471666419,705.895218556594,199.5756496446,0,1335.75073797,16487.0124857229,136946.745141751,23768.3587122416,7281.34622651864,-113178.38642951,13747.171603614,-2739.84088210894,69356.0148675474,52869.0023818245,30266.3149335097,13779.3024477867,17516.5557801418,1029.54329441887
9,1.73228950858,"Fitzroy",7.95685663126307,1.03168191472736,1.04745749415718,1.20416257828212,1.67148328994181,2.42536601897466,3.30580895463083,4.16345244853496,4.91057784222416,5.5128406197044,5.96847304565847,6.29173517451245,6.50281785766839,6.62251735641819,6.66979093956905,6.66087551669877,6.60918373419442,6.52554605051376,6.41857568625966,6.29504836995879,6.16024953465981,6.01827234831163,5.87226465503842,5.72462928191633,5.57718437869349,127.146851722512,135.052964632441,0,1299.217131435,16036.0825255371,133201.167197425,-3007.015632999,-19043.0981585361,-136208.182830424,-3683.37126442072,-19719.4537899578,5246.84995555994,-10789.2325699771,3037.98423086094,-12998.0982946761,-5360.78176397161,-21396.8642895087
