"FID_site","Area_ha","BASIN_NAME","NPV_25_4_CPlow_RClow","NPV_25_4_CPlow_RChigh","NPV_25_4_CPhigh_RClow","NPV_25_7_CPlow_RClow","NPV_25_4_CPlow_RClow_upperCI","NPV_25_4_CPlow_RClow_lowerCI","CYC","NPV_25_4_CPlow_RClow_rank","NPV_25_4_CPhigh_RClow_rank","NPV_25_4_CPlow_RChigh_rank","NPV_25_7_CPlow_RClow_rank","NPV_25_4_CPlow_RClow_upperCI_rank","NPV_25_4_CPlow_RClow_lowerCI_rank"
0,1.28319811169,"Fitzroy",4999.20183645565,-81791.1496967638,36783.8651408534,-2149.21449709689,9680.94098476066,494.814681783882,0,119,207,43,62,190,98
1,4.96053356242,"Fitzroy",-15394.023889766,-350904.53294729,60977.8926230973,-31257.6027973852,2391.58801377239,-28570.9123211596,0,278,157,288,325,263,319
2,2.8618717481,"Fitzroy",1477.83266772647,-192087.64471087,58924.0086140653,-11448.3724581499,20539.3618866341,-9335.46673888718,0,186,160,199,194,126,243
3,4.12853391308,"Fitzroy",8730.66980945809,-270506.734273938,101777.724096118,-12131.1259086473,23793.559870206,-5761.61315475409,0,99,111,247,199,116,219
4,39.8174860136,"Shoalwater",157410.291358528,-1918516.61681221,1102731.82449312,8785.18100591621,294785.305553067,124596.151093586,0,27,29,385,46,29,26
5,9.46036247971,"Shoalwater",19560.6131214047,-566978.464432,244102.653624521,-15322.9148897923,52200.0000600487,11764.1922988404,0,74,59,329,238,67,62
6,2.54260703277,"Shoalwater",650.01899680862,-171321.679039991,51066.8187706549,-9769.87512526416,9730.29551087339,-5615.70266274729,0,190,177,180,183,188,217
7,2.45124222609,"Fitzroy",35697.0742819754,-130095.076249819,137310.542195386,14441.9788523006,44640.392759135,27092.5434457709,0,55,88,119,37,74,46
8,1.78100098396,"Fitzroy",7281.34622651864,-113178.38642951,52869.0023818245,-2739.84088210894,13779.3024477867,1029.54329441887,0,106,172,101,66,152,93
9,1.73228950858,"Fitzroy",-19043.0981585361,-136208.182830424,-10789.2325699771,-19719.4537899578,-12998.0982946761,-21396.8642895087,0,293,290,130,276,298,291
10,1.3496811011,"Fitzroy",22252.8152773266,-69034.1778650937,81202.1702587844,9794.52332012786,27177.1058740257,17515.0649228086,0,66,131,8,43,110,55
11,3.89310953029,"Fitzroy",11547.4040374635,-251766.843087008,96091.9518316156,-9036.86614233912,28670.4002368786,-2424.00177090228,0,93,117,237,179,107,156
12,922.094862084,"Waterpark",-161777.715599146,-39141016.6276279,13160529.5901014,-2033528.36873795,3019575.86015611,-921699.208502702,0,401,2,423,421,5,416
13,1.28311336233,"Waterpark",9760.99283213283,-77023.6265957479,51382.8609778486,2595.15773765221,14187.8729409281,8703.56426204091,0,96,176,31,52,149,70
14,1.15598381516,"Calliope",2666.56945908901,-75519.5194779606,32102.2929346331,-2068.32805216994,6817.66679995005,1540.1113905151,0,163,220,27,61,212,86
15,2.8554301855,"Calliope",3694.48799561796,-189435.308035426,72599.0425782691,-7012.55954096113,13546.0566600795,1341.28892313191,0,138,140,196,146,154,90
16,2.06772069045,"Calliope",31455.6270297967,-108396.671661881,119220.748546684,13369.8010996883,49970.6355615169,23152.4780303178,0,58,98,94,38,70,48
17,122.18136658,"Calliope",2435403.25130163,-2729506.42811716,7602708.16373054,1354827.67958464,3542307.24261446,1937317.89159617,0,4,7,400,3,3,4
18,19.3187372443,"Calliope",333166.479638043,-755701.495790811,1150196.2780757,163523.261304844,508184.900311626,254411.579754728,0,19,28,352,15,21,19
19,72.5553139787,"Calliope",1387737.20205953,-1986065.36167378,4456252.55579801,747421.826175345,2045053.14335188,1091957.75810755,0,6,10,388,5,7,6
