"","FID_site","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_CO2eMg_25yrs"
"0",0,6.25570210705806,6.25622950190774,6.32839908315011,7.0452881426083,9.18317095169401,12.6320078772863,16.6598281077129,20.5833462317653,24.0012699307319,26.7564810874435,28.8408927268288,30.3197412581745,31.2853950979371,31.8329922710316,32.0492578424487,32.0084718708139,31.7719940720992,31.38937125725,30.9000068933031,30.3348983513894,29.718225249855,29.068712873444,28.4007618717979,27.7253646160466,27.0508387154764,588.398647989255
"1",1,26.1641176654487,15.8639247459049,16.0542236484143,17.9445380840452,23.5817711850164,32.6757671674785,43.2964435821194,53.6420930944177,62.6545761596836,69.9195990443675,75.415837771605,79.3153096494812,81.8615744711333,83.3054950158179,83.8757505193523,83.7682048539034,83.1446531470962,82.1357419065509,80.8453713683937,79.3552763245593,77.7292143132672,76.016560723354,74.2552876169406,72.4743800058005,70.6957700099687,1545.99148207412
"2",2,12.2071867293321,11.8779689403412,12.0423320469614,13.6750159407315,18.543951772728,26.3985290275543,35.5717157716639,44.5073589699252,52.2915326852492,58.5664071866103,63.3135647372964,66.6815784440177,68.880813388863,70.1279423176559,70.620477823075,70.5275895328977,69.9890215521177,69.1176146043461,68.0031083852039,66.7160980696723,65.3116516950024,63.8324152890626,62.3111857099148,60.7729976084043,59.2367939807131,1281.12485220934
"3",3,14.5473376122012,14.5490344369041,14.7812307283992,17.0877285375053,23.9660899104749,35.0622765629183,48.0212670990183,60.6446791008061,71.6414064456426,80.505941916979,87.2122667186865,91.9702705583971,95.0771368669035,96.8389599319252,97.5347664309608,97.403542843466,96.6427061178367,95.4116667087114,93.8372001738879,92.0190365450327,90.0349706162,87.9452485686752,85.7962026297521,83.6231993315236,81.4529995058681,1753.60716589868
"4",4,930.171871238449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,17011.6151367852
"5",5,220.966276026836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,4040.93738718289
"6",6,23.708447023504,17.2412231748001,17.3285398193375,18.1958906630018,20.7824756215132,24.955159773415,29.8283451413561,34.575337315572,38.710620125048,42.0440992592577,44.5659904362983,46.3552219839018,47.5235487445847,48.1860764590272,48.447732182949,48.3983859885269,48.1122758637915,47.6493475809753,47.0572746677,46.3735602712756,45.6274588657314,44.8416258275257,44.0334842369119,43.2163335608684,42.4002371213787,960.158691708252
"7",7,36.7097698927621,36.7107773517329,36.8486396992427,38.2180810475175,42.3019836791753,48.8901437676173,56.5843099627787,64.0792324740023,70.6083403978293,75.8714979693519,79.8532569990641,82.6782357038458,84.5228813695096,85.5689319419661,85.9820544632258,85.9041428320614,85.4524097901963,84.7215024112444,83.7866913892049,82.7071896262057,81.5291863738636,80.2884517124285,79.0124945636792,77.7223131662448,76.4337962799343,1742.98631486468
"8",8,9.57404181896075,9.57477380947453,9.67494059890148,10.6699370257212,13.6371824145785,18.4239487522341,24.0143070988597,29.4599007545154,34.2037614994182,38.0278193782395,40.9208501838389,42.9733979038566,44.3136640265321,45.0736940805232,45.3738569411013,45.3172486060938,44.9890324593429,44.4579763237081,43.7787697057301,42.9944349853839,42.1385319353271,41.2370500600248,40.3099765454271,39.3725681036464,38.4363690474466,838.948034058886
"9",9,13.9772996902729,4.91345889886882,4.93285053689606,5.12547536452276,5.69991474555819,6.62660153138655,7.70885849620016,8.76308995972262,9.68147050224652,10.4217832007523,10.981855121843,11.3792149917953,11.6386817837309,11.7858186519597,11.8439282267484,11.8329692217921,11.7694287135168,11.66661970453,11.5351297270945,11.3832876337603,11.2175903779327,11.0430693584012,10.8635939641855,10.6821177953806,10.5008757557472,247.974983954845
"10",10,22.0289866180247,22.0295413361362,22.1054498776038,22.8594795111524,25.1081217101602,28.7356359103888,32.9721293709579,37.0989170437065,40.6939164654811,43.5918695468329,45.7842703428471,47.3397350294016,48.3554174440297,48.9313845205433,49.1588543743698,49.1159553639303,48.8672261281375,48.4647803981299,47.9500630549786,47.3556773809994,46.7070556917233,46.0238933910732,45.3213371972595,44.6109489739565,43.9014772489864,1005.11212393081
"11",11,13.6179893354351,13.6196048545683,13.8406751577743,16.0366541147153,22.5854298272453,33.1499282173391,45.4879718123179,57.5065165563369,67.9763213613276,76.4161010486349,82.8010835466974,87.3311014239304,90.2890981792593,91.9665011931995,92.6289672159083,92.5040313778359,91.7796511366956,90.6075985871846,89.1085746708253,87.3775307246838,85.4885339037465,83.4989436149099,81.4528720163404,79.3839910065974,77.317779137381,1663.77345002089
"12",12,16352.7381581924,10329.0821161616,10329.08230928,10329.0842276016,10329.0899483568,10329.0991770908,10329.1099551247,10329.1204540569,10329.1296000703,10329.1369727329,10329.1425504047,10329.1465076517,10329.1490916424,10329.1505569563,10329.1511356608,10329.1510265217,10329.1503937313,10329.1493698719,10329.1480603831,10329.1465482105,10329.1448980566,10329.143160028,10329.1413726596,10329.1395653658,10329.1377604037,264251.864916216
"13",13,36.7305590082677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,28.3485146222677,717.094909942692
"14",14,27.1815794844062,20.0141663873112,20.0175834471455,20.0515264570482,20.1527501769559,20.3160444891978,20.5067522983961,20.6925216483128,20.8543522920224,20.9848050564248,21.0834970422815,21.1535170400506,21.1992384768799,21.2251659143596,21.2354055802261,21.2334744604513,21.2222777931879,21.2041615033351,21.1809912523287,21.154234692745,21.1250366726108,21.0942837900921,21.0626578820604,21.0306794114202,20.9987421973972,527.975445446648
