abatement_type,carbon pool_emission source,GHG,ecosystem_landuse,AGB_mature_MgCha_mean,AGB_mature_1SD,AGB_mature_n,AGB_mature_upper95%CI,AGB_mature_lower95%CI,CAR_MgChayr_median,CAR_MgChayr_n,CAR_MgChayr_mean,CAR_MgChayr_1SE,CAR_MgChayr_lower95%CI,CAR_MgChayr_upper95%CI,R:S_median,R:S_mean,R:S_1SE,R:S_lower95%CI,R:S_upper95%CI,EF_CH4_N2O_kghayr_median,EF_CH4_N2O_kghayr_n,EF_CH4_N2O_kghayr_range,SOC_MgCha,conversion_factor,GWP,source
wetland_removals,aboveground biomass carbon,CO2,mangrove_tropical,167,101,15,218.11,115.89,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,"Lovelock et al. 2021, Yanmei et al 2019"
wetland_removals,aboveground biomass carbon,CO2,saltmarsh_tropical,1.36,0.37,3,1.78,0.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,"Lovelock et al. 2021, Serrano et al 2019"
wetland_removals,aboveground biomass carbon,CO2,supratidal_tropical,192,55,6,236.01,147.99,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,"Lovelock et al. 2021, Adame et al 2019"
wetland_removals,aboveground biomass carbon,CO2,mangrove_temperate,70.4,41,9,84.07,56.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,Lovelock et al. 2021
wetland_removals,aboveground biomass carbon,CO2,saltmarsh_temperate,7.89,6.08,49,8.76,7.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,Lovelock et al. 2021
wetland_removals,aboveground biomass carbon,CO2,supratidal_temperate,178,41,1,219,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,Lovelock et al. 2021
wetland_removals,soil carbon,CO2,mangrove,NA,NA,NA,NA,NA,0.95,48,1.4,0.16,1.07,1.73,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,"Lovelock et al. 2021, Serrano et al 2019"
wetland_removals,soil carbon,CO2,saltmarsh,NA,NA,NA,NA,NA,0.48,28,0.77,0.22,0.32,1.21,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,"Lovelock et al. 2021, Serrano et al 2019"
wetland_removals,soil carbon,CO2,supratidal,NA,NA,NA,NA,NA,0.61,8,0.62,0.05,0.51,0.74,NA,NA,NA,NA,NA,NA,NA,,,3.67,1,"Lovelock et al. 2021, Adame et al 2019"
wetland_removals,belowground biomass carbon,CO2,mangrove_tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.47,0.07,0.17,0.47,NA,NA,,,1.57,265,Lovelock et al. 2021
