Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,,
1,1,"Adger NW, Kelly PM, Tri NH (1997) Valuing the products and services of mangrove restorationNA Commonwealth Forestry Review 76:198-202",journal,1997,1994,1994,primary,Planting of 1 ha mangrovesNA Here: labour cost for 95 working daysNA,"Planting mangroves (seeds, seedlings or propagules)",Rhizophora apiculata,Nam Ha Province,Vietnam,VNM,developing,"Estimates of the cost of establishing the rehabilitated mangrove stands are primary based on the cost of labour for the activities describedNA Cost for work of a day were 5,500 Viatnamese Dong (VND) @ 1994NA (This represents the cost for 2NA5 kg of rice during this year)NA Planting of 1 ha of mangroves required 95 work days or VND 522,000NA These are average cost from 3 destricts restoredNA Cost mainly depended on where the seedlings were obtainedNA The planting and handling fees for seedlings obtained from forests in the area under rehabilitation are not significant compared to costs for collecting, handling and transportation for other areas which increase depending on the distance from the seedling source site to the planting siteNA The seed mortality rate between time of collection and time of planting adds an additional cost factorNA Here: planting and capital cost, excluding maintenance cost per yearNA",NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"Funding by the UK ESRC Global Environment Change Programme, under the project 'Socio-economic and Physical Approaches to Vulnerability to Climate Change in Vietnam' (Award NoNA L320253240) is gratefully acknowledgedNA ",1,1.00,"VND 522,000 = 47 US $ @ 1994",1994.00,48.00,NA,NA,3.00,NA,NA,"US$ 1 = VND 11,000 for 1994",,
1,2,"Adger NW, Kelly PM, Tri NH (1997) Valuing the products and services of mangrove restorationNA Commonwealth Forestry Review 76:198-202",journal,1997,1994,1994,primary,Total project cost: planting of 1 ha mangroves and maintenanceNA,"Planting mangroves (seeds, seedlings or propagules)",Rhizophora apiculata,Nam Ha Province,Vietnam,VNM,developing,"Total cost for establishing and maintenance per year and ha; planting, capital, and recurrent cost for maintenanceNA",yes,NA,NA,yes,NA,NA,yes,NA,NA,NA,"Funding by the UK ESRC Global Environment Change Programme, under the project 'Socio-economic and Physical Approaches to Vulnerability to Climate Change in Vietnam' (Award NoNA L320253240) is gratefully acknowledgedNA ",1,1.00,"VND 604,500 = 55 US $ @ 1994",1994.00,55.00,NA,NA,4.00,NA,NA,NA,,
2,3,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger DeltaNA Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014",conference proceedings,2002,1998-2001,NA,primary,"Several restoration techniques were applied on experimental plots such as natural recolonization, transplanting from local forests and planting from collected propagules and seedsNA The experiments were peformed in order to obtain necessary data for large-scale restoration after 2001NA Here: test restoration was done on site which was frequently inundated (daily)NA CaNA 200 cm tall root ball saplings were plantedNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora racemosa,Niger Delta,Nigeria,NGA,developing,"Test restoration was carried out with the assitance of local youthNA Field assitants were trained on the basic steps involved in identifying, selecting, removing, transporting, and transplanting mangrove seedlingsNA",NA,yes,NA,NA,NA,yes,NA,yes,NA,NA,The program is carried out with the collaboration of some non-governmental organizations (NGO) and local communitiesNA,0NA5,NA,NA,1998.00,NA,NA,NA,NA,The site which was daily exposed to tidal indundation performed bestNA,90,NA,,
2,4,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger DeltaNA Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014",conference proceedings,2002,1998-2001,NA,primary,"Several restoration techniques were applied on experimental plots such as natural recolonization, transplanting from local forests and planting from collected propagules and seedsNA The experiments were peformed in order to obtain necessary data for large-scale restoration after 2001NA Here: test restoration was done on site which was frequently inundated (daily)NA CaNA 100 cm tall root ball saplings were plantedNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora racemosa,Niger Delta,Nigeria,NGA,developing,"Test restoration was carried out with the assitance of local youthNA Field assitants were trained on the basic steps involved in identifying, selecting, removing, transporting, and transplanting mangrove seedlingsNA",NA,yes,NA,NA,NA,yes,NA,yes,NA,NA,The program is carried out with the collaboration of some non-governmental organizations (NGO) and local communitiesNA,0NA5,NA,NA,1998.00,NA,NA,NA,NA,The site which was daily exposed to tidal indundation performed bestNA,100,NA,,
2,5,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger DeltaNA Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014",conference proceedings,2002,1998-2001,NA,primary,"Several restoration techniques were applied on experimental plots such as natural recolonization, transplanting from local forests and planting from collected propagules and seedsNA The experiments were peformed in order to obtain necessary data for large-scale restoration after 2001NA Here: test restoration was done on site which was frequently inundated (daily)NA Auger excavated seedlings  (30 - 60 cm) were plantedNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora racemosa,Niger Delta,Nigeria,NGA,developing,"Test restoration was carried out with the assitance of local youthNA Field assitants were trained on the basic steps involved in identifying, selecting, removing, transporting, and transplanting mangrove seedlingsNA",NA,yes,NA,NA,NA,yes,NA,yes,NA,NA,The program is carried out with the collaboration of some non-governmental organizations (NGO) and local communitiesNA,0NA5,NA,NA,1998.00,NA,NA,NA,NA,The site which was daily exposed to tidal indundation performed bestNA,100,NA,,
2,6,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger DeltaNA Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014",conference proceedings,2002,1998-2001,NA,primary,"Several restoration techniques were applied on experimental plots such as natural recolonization, transplanting from local forests and planting from collected propagules and seedsNA The experiments were peformed in order to obtain necessary data for large-scale restoration after 2001NA Here: test restoration was done on site which was frequently inundated (daily)NA Shovel excavated seedlings  (30 - 60 cm) were plantedNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora racemosa,Niger Delta,Nigeria,NGA,developing,"Test restoration was carried out with the assitance of local youthNA Field assitants were trained on the basic steps involved in identifying, selecting, removing, transporting, and transplanting mangrove seedlingsNA",NA,yes,NA,NA,NA,yes,NA,yes,NA,NA,The program is carried out with the collaboration of some non-governmental organizations (NGO) and local communitiesNA,0NA5,NA,NA,1998.00,NA,NA,NA,NA,The site which was daily exposed to tidal indundation performed bestNA,100,NA,,
2,7,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger DeltaNA Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014",conference proceedings,2002,1998-2001,NA,primary,"Several restoration techniques were applied on experimental plots such as natural recolonization, transplanting from local forests and planting from collected propagules and seedsNA The experiments were peformed in order to obtain necessary data for large-scale restoration after 2001NA Here: test restoration was done on site which was frequently inundated (daily)NA Hand uprooted seedlings (30 - 60 cm) were plantedNA ","Planting mangroves (seeds, seedlings or propagules)",Rhizophora racemosa,Niger Delta,Nigeria,NGA,developing,"Test restoration was carried out with the assitance of local youthNA Field assitants were trained on the basic steps involved in identifying, selecting, removing, transporting, and transplanting mangrove seedlingsNA",NA,yes,NA,NA,NA,yes,NA,yes,NA,NA,The program is carried out with the collaboration of some non-governmental organizations (NGO) and local communitiesNA,0NA5,NA,NA,1998.00,NA,NA,NA,NA,The site which was daily exposed to tidal indundation performed bestNA,100,NA,,
2,8,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger DeltaNA Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014",conference proceedings,2002,1998-2001,NA,primary,"Several restoration techniques were applied on experimental plots such as natural recolonization, transplanting from local forests and planting from collected propagules and seedsNA The experiments were peformed in order to obtain necessary data for large-scale restoration after 2001NA Here: test restoration was done on site which was less frequently inundated (weekly)NA CaNA 200 cm tall root ball saplings were plantedNA",Planting mangroves (saplings or small trees),Rhizophora racemosa,Niger Delta,Nigeria,NGA,developing,"Test restoration was carried out with the assitance of local youthNA Field assitants were trained on the basic steps involved in identifying, selecting, removing, transporting, and transplanting mangrove seedlingsNA",NA,yes,NA,NA,NA,yes,NA,yes,NA,NA,The program is carried out with the collaboration of some non-governmental organizations (NGO) and local communitiesNA,0NA5,NA,NA,1998.00,NA,NA,NA,NA,Planting site was destroyed before the experiments were completedNA,0,NA,,
2,9,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger DeltaNA Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014",conference proceedings,2002,1998-2001,NA,primary,"Several restoration techniques were applied on experimental plots such as natural recolonization, transplanting from local forests and planting from collected propagules and seedsNA The experiments were peformed in order to obtain necessary data for large-scale restoration after 2001NA Here: test restoration was done on site which was less frequently inundated (weekly)NA CaNA 100 cm tall root ball saplings were plantedNA",Planting mangroves (saplings or small trees),Rhizophora racemosa,Niger Delta,Nigeria,NGA,developing,"Test restoration was carried out with the assitance of local youthNA Field assitants were trained on the basic steps involved in identifying, selecting, removing, transporting, and transplanting mangrove seedlingsNA",NA,yes,NA,NA,NA,yes,NA,yes,NA,NA,The program is carried out with the collaboration of some non-governmental organizations (NGO) and local communitiesNA,0NA5,NA,NA,1998.00,NA,NA,NA,NA,Planting site was destroyed before the experiments were completedNA,0,NA,,
2,10,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger DeltaNA Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014",conference proceedings,2002,1998-2001,NA,primary,"Several restoration techniques were applied on experimental plots such as natural recolonization, transplanting from local forests and planting from collected propagules and seedsNA The experiments were peformed in order to obtain necessary data for large-scale restoration after 2001NA Here: test restoration was done on site which was less frequently inundated (weekly)NA Auger excavated seedlings  (30 - 60 cm) were plantedNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora racemosa,Niger Delta,Nigeria,NGA,developing,"Test restoration was carried out with the assitance of local youthNA Field assitants were trained on the basic steps involved in identifying, selecting, removing, transporting, and transplanting mangrove seedlingsNA",NA,yes,NA,NA,NA,yes,NA,yes,NA,NA,The program is carried out with the collaboration of some non-governmental organizations (NGO) and local communitiesNA,0NA5,NA,NA,1998.00,NA,NA,NA,NA,Planting site was detroyed before the experiments were completedNA,0,NA,,
