"FID_site","restor_ha","NPV_25_4_CPlow_FGM2_RClow","NPV_25_4_CPlow_FGM2_RChigh","NPV_25_4_CPhigh_FGM2_RClow","NPV_25_7_CPlow_FGM2_RClow","NPV_25_4_CPlow_FGM1_RClow","NPV_25_4_CPlow_FGM2_RClow_upper","NPV_25_4_CPlow_FGM2_RClow_lower","BASIN_NAME"
0,2.43,1586.86577106981,-162768.546152006,50826.3082935553,-9481.45987737588,-25659.8719352439,8482.18827910694,-5308.45673696733,"Collie River"
1,1.06,1684.41558086185,-70009.7147230314,24468.8789988143,-3431.43265005621,-10200.9926367071,4690.09957333731,-1321.26841161362,"Collie River"
2,1.29,1784.62566100215,-85465.7781993962,29163.8399563237,-4364.7111724546,-12679.691886794,5444.18451585943,-1874.93319385515,"Collie River"
3,1.56,1851.58142233346,-103660.534873962,34557.9466530353,-5496.14189928724,-15640.1514261642,6278.3973495169,-2575.23450484996,"Harvey River"
4,1.17,1631.70526727689,-77502.3819549449,26481.2412962596,-3954.16213979141,-11487.0943690964,4965.54926795865,-1702.13873340486,"Murray River"
5,2.7,-3872.7523308166,-186489.87668979,43422.033412289,-14534.3065097111,-34146.9053378318,3793.38996878932,-11538.8946304225,"Busselton Coast"
6,15.9,7944.80873060977,-888231.819709585,281949.791911349,-54650.4483649706,-170336.314532924,53115.58198719,-37225.9645259704,"Busselton Coast"
7,1,2240.19094885538,-65395.7810359495,24591.7041347649,-2777.40416665582,-8972.45831300211,5082.15486464776,-601.772966937018,"Busselton Coast"
8,1.7,2035.19248670955,-112945.959887459,37699.6963154602,-5981.65051667056,-17026.3112584482,6873.63027843702,-2803.24530501793,"Busselton Coast"
9,1.03,547.484255059717,-69117.5668892894,21253.868596729,-4111.4168884317,-11001.5444846535,3481.82024062712,-2386.85173050769,"Busselton Coast"
10,2.89,2693.98038161024,-192773.978654476,62315.9436723338,-10708.7496276083,-29710.5759851579,10909.0952691998,-5521.13450597932,"Busselton Coast"
11,1.27,1932.02504720675,-83965.6593734955,29117.1080329966,-4177.25329340957,-12308.0395153523,5548.44040075609,-1684.39030634258,"Busselton Coast"
12,1.95,1495.03547729817,-130395.109893071,41299.7797780194,-7452.98556360184,-20369.6305833239,7033.31487932573,-4043.24392472939,"Busselton Coast"
13,5.08,11330.6740798651,-303627.502243907,117627.249125088,-12687.2773473306,-45629.584170371,25775.1302237602,-3113.78206402999,"Busselton Coast"
14,43.63,187042.452070537,-2087653.92058728,1110067.11316069,-23345.2317656917,-302165.435224305,310984.504768255,63100.3993728205,"Collie River"
15,2.7,4182.92346445295,-178434.20089452,62077.2826223869,-8819.54068382954,-26091.2295425623,11847.5541070231,-3481.70717811714,"Collie River"
16,2.21,-21689.9752309961,-171165.473317415,-7346.81165324974,-22058.9979965856,-46469.9300997011,-21291.7551059773,-22088.1953560148,"Harvey River"
17,2.42,3214.68770308459,-160464.364500143,54401.9622535838,-8282.17082552858,-23919.9235106105,10078.7082127048,-3649.33280653568,"Harvey River"
18,1.14,1518.28376621606,-75586.7242964615,25636.4641725226,-3896.30371389527,-11264.1363923015,4744.23598214171,-1707.66844970958,"Harvey River"
19,11.49,-52336.8259064226,-699951.257401884,69252.0296795311,-69895.2157337713,-181170.165925165,-41022.0444608829,-63651.6073519623,"Harvey River"
20,2.23,4858.98367489735,-145969.233851218,54523.0657886202,-6287.41133624812,-20145.2241790448,11186.8946212577,-1468.92727146296,"Harvey River"
