OID_,FID_PeelHarveySW_rsites_grazing_1ha,comments,Shape_Length,Shape_Area,rem_ha
1,0,REMNANT VEGETATION,0.003385808532740,0.000000106597747,0.110249959460501
2,4,REMNANT VEGETATION,0.000167622791239,0.000000000613044,0.000637836274383
3,5,REMNANT VEGETATION,0.007974532450377,0.000002359953816,2.431574450034487
4,6,REMNANT VEGETATION,0.035336824310726,0.000015233733726,15.696526107586667
5,14,REMNANT VEGETATION,0.004532689683676,0.000000002006825,0.002075874757840
6,23,REMNANT VEGETATION,0.006558540377014,0.000000258833710,0.269322932338630
7,25,REMNANT VEGETATION,0.025262587418095,0.000003116316232,3.242420005822364
8,26,REMNANT VEGETATION,0.001738575257581,0.000000087610984,0.091157604303621
9,28,REMNANT VEGETATION,0.007489187025419,0.000000442154851,0.460436715279754
10,30,REMNANT VEGETATION,0.071566769476268,0.000020699856462,21.329484384746497
11,37,REMNANT VEGETATION,0.042764857528753,0.000007942857149,8.187356998174618
