"","FID_site","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_CO2eMg_25yrs"
"0",0,5.96356838291836,5.96414743091197,6.04338531357936,6.83048661306059,9.17775403884851,12.9643706568844,17.3866763060202,21.6944644822184,25.4471402267994,28.4721972466846,30.7607565270479,32.3844437425256,33.4446738884573,34.0459028245785,34.283349483932,34.238568927093,33.9789304513608,33.5588334910213,33.0215406955733,32.4010853241042,31.7240151510154,31.0108894187178,30.2775191790007,29.5359733977475,28.7953843123541,623.406057512455
"1",1,3.39923328999952,3.39948569810418,3.43402563952874,3.77712456978904,4.80030283585657,6.45089610995013,8.37858742300303,10.2563603551729,11.8921587389745,13.2107867582436,14.2083740337918,14.9161423313095,15.3782986371606,15.6403754561935,15.7438788996153,15.7243589710394,15.6111820733048,15.4280610216777,15.1938540860821,14.9233964278803,14.6282602716434,14.3174074296348,13.997729968935,13.6744887743712,13.3516646053241,291.736434406586
"2",2,3.91960812599919,3.91991544450531,3.96196941584858,4.37970818395243,5.62547490229633,7.63514832342072,9.98220138414657,12.2684765143788,14.2601364743708,15.8656268906154,17.080235397985,17.9419759358633,18.5046725485611,18.823763160264,18.9497833752402,18.9260169621226,18.7882188704713,18.565260546286,18.2801028027663,17.9508081329293,17.5914662537933,17.2129885850238,16.8237665360888,16.4302054768484,16.0371521654039,349.724682409181
"3",3,4.4912681595288,4.49163990992593,4.54251084752449,5.04783203660432,6.55478414997179,8.98580238520593,11.8249347187044,14.5905465210673,16.999774622625,18.9418695109579,20.41113083424,21.4535424716744,22.1342131279084,22.5202037508564,22.6726451562087,22.6438959161243,22.4772073039033,22.2075039052842,21.8625604596836,21.4642264126068,21.0295455078983,20.5717168354701,20.1008911338559,19.6248167121939,19.1493564918929,416.794418881917
"4",4,3.51455092139585,3.5148308873695,3.55314189304755,3.93370029943764,5.0685889745268,6.89939370921561,9.03754999419979,11.1203378189442,12.9347323600252,14.3973279363321,15.5038316014109,16.2888739074081,16.8014883510743,17.0921786675008,17.2069825972437,17.1853314865682,17.0597979566054,16.8566837832944,16.5969061788929,16.2969200048667,15.9695609390707,15.6247692427315,15.2701894575062,14.9116568506295,14.5535868000363,317.192912619334
"5",5,2.12038452755375,2.12102830662459,2.20912409668222,3.08421450166249,5.69388012358889,9.90379804897671,14.8204679159932,19.6098185398113,23.782001382413,27.145225880155,29.6896204438463,31.4948176959537,32.6735696919004,33.3420092860706,33.6059998212556,33.556213299946,33.2675501519793,32.8004910588273,32.2031349494276,31.5133196198773,30.7605605882776,29.9677153899665,29.152362575154,28.327920284872,27.5045416383267,580.349769819142
"6",6,9.66807580863652,9.6718691113564,10.1909509131326,15.3471962210765,30.7239801988001,55.529839600377,84.5000531785774,112.720070838029,137.303585962428,157.120521946813,172.112712988934,182.749373850622,189.694867040513,193.633475556237,195.188971937688,194.895617656301,193.194744245041,190.442718575589,186.922951224999,182.858391682238,178.422952552053,173.751315986904,168.94705907611,164.089244767161,159.237697705568,3348.91823862519
"7",7,3.70333310903664,3.70357176843241,3.73623031385099,4.06064059177369,5.02808617782549,6.5887713783878,8.41146104443311,10.1869513916014,11.7336475818576,12.9804497268925,13.9236982676769,14.5929143154459,15.0298968951093,15.2776983488622,15.3755639435493,15.3571072685327,15.2500951341006,15.0769487147668,14.855499067546,14.5997732802431,14.320713236549,14.0267925974128,13.7245280179442,13.4188938217521,13.1136539356315,288.076919929214
"8",8,4.85862000200286,4.85902631913918,4.91462742635172,5.46693526530904,7.11400940969973,9.77107279232367,12.8741982450358,15.8969669532694,18.530214074273,20.6528921926762,22.2587709166679,23.3981098781385,24.142071832061,24.5639533035394,24.7305692796299,24.6991468279183,24.5169588864979,24.2221774594179,23.8451598850132,23.4097872517683,22.9346880944329,22.4342888035542,21.9196839712146,21.3993423732503,20.8796720873816,454.292943530566
"9",9,2.38786928499246,2.38811570151077,2.42183574437462,2.7567902972128,3.7556806706814,5.36709266669742,7.24902503321283,9.08222396609615,10.6791922683989,11.9665190992319,12.9404259532835,13.6313934635238,14.0825792444013,14.3384349640965,14.4394814744492,14.4204249039649,14.309934564798,14.1311603846614,13.9025129816383,13.6384753645699,13.3503450601014,13.046871147739,12.7347820927836,12.4192138987882,12.1040528310854,261.544433062294
"10",10,7.68495071448089,7.68564059458257,7.78004492575101,8.71780057037422,11.5143443944329,16.0257346181914,21.2944873028326,26.4268034109796,30.8977563419948,34.5018214065223,37.2284201106915,39.1628875704967,40.4260500180781,41.1423565836116,41.4252514857702,41.371899750774,41.0625654295885,40.5620602263738,39.921927435234,39.1827144175253,38.3760502981311,37.5264294409061,36.6526891963573,35.769208578837,34.8868677726006,757.226762595118
"11",11,3.95128621702276,3.95158991247023,3.99314809849084,4.40596203444883,5.63704208148235,7.62302293437334,9.94240596960941,12.2017276013508,14.1699073585378,15.7564702262389,16.9567593946377,17.8083406467939,18.3644034812116,18.6797322498156,18.8042667793513,18.7807805547252,18.6446070009987,18.424277191105,18.1424812471815,17.8170687187671,17.4619632155024,17.0879475194583,16.7033141115709,16.3143928471111,15.925973344475,347.548870736731
"12",12,4.94484982575539,4.9453149134394,5.00895827934804,5.64115306199164,7.52646340391385,10.5678499082578,14.1198178194805,17.5798060211531,20.5939314307298,23.0236380853006,24.8617944163469,26.1659297124602,27.0174998561016,27.5004031327708,27.6911187869037,27.6551513270404,27.4466113464311,27.1091921264322,26.6776419533375,26.1792961254694,25.6354776472221,25.0626995719928,24.4736612365195,23.8780563578227,23.2832198911861,504.589536237407
"13",13,14.3989747177864,14.4001877188229,14.566176781668,16.2150119431717,21.1321135508583,29.0643919336622,38.3283241035333,47.3523628364217,55.2135412151963,61.5504896908598,66.3446083298908,69.7459399932081,71.9669307920425,73.2263968997003,73.7238047952045,73.6299976108987,73.0861018653973,72.2060745551831,71.0805431226457,69.7808011030398,68.3624612922301,66.8685915924084,65.3323133033966,63.778908730439,62.2275082626373,1353.5825567403
"14",14,130.17308048278,130.183488755469,131.60777396008,145.755763502996,187.947429323346,256.011111025198,335.5011768157,412.932813772873,480.386415014899,534.761214182769,575.89761274832,605.083067988562,624.140494304099,634.947465029146,639.215521575041,638.410599959105,633.743649921012,626.192490488533,616.534759194616,605.382197112484,593.211995214717,580.393701800668,567.211517386231,553.882379236315,540.570437504483,11780.0781562994
